comment,label
রাবণের মাথা শ্রেণি সমবায় থেকে সমান্তরাল সমবায় করে দিয়েছে,Negative
কবিতা গুলো বেশ ভালো ছিল হাসতে হাসতে পেট ব্যাথা করছে,Positive
হাসতে হাসতে পেট ব্যাথা,Positive
দাঁত কেলানো বাদুর,Negative
"আমাদের বাড়ির বটি টার ধার কমে গেছে,  রাবনকে দিয়ে ধার দাওয়াতাম সেরা লাইন",Negative
রাবণ নিজেকে দেখেই ভয় পেয়ে যাবে,Negative
তোমার কবিতাগুলো সত্যিই অসাধারণ আজকের ভিডিওটা দারুন হয়েছে হাসতে হাসতে পেটে খিল ধরে গেলো একটু তাড়াতাড়ি ভিডিও দেওয়ার চেষ্টা করবে তোমার ভিডিওর অপেক্ষায় থাকি,Positive
দিদি আপনার ভিডিও এর অপেক্ষায় ছিলাম ... দারুন লাগলো আর প্রচুর হাসলাম,Positive
তোমার ভিডিওর অপেক্ষায় ছিলাম,Positive
দিদি হাসতে হাসতে পেট ব্যাথা হয়ে গেল,Positive
এটার অপেক্ষা করছিলাম.... তুমি সেরা,Positive
চরিত্রের বর্ণনাগুলো এত সুন্দর করে তুলে ধরার জন্য সত্যিই খুব ভালো লেগেছে তোমার ভিডিও,Positive
সবাই রোস্ট করছে... আমি ভাবছিলাম তুমি কবে করবে। এবার মজা জমবে। দাঁড়াও মন দিয়ে দেখি ভিডিওটা,Positive
দিদি সত্যি গো তোমার কোনো তুলনা হয় না,Positive
আমি অপেক্ষা করছিলাম আর চাইছিলাম তুমি যাতে এই   এ ভিডিও দাও। হাসতে হাসতে আমি শেষ। দারুন হয়েছে রিশা দি তুমি এতো  ।  .,Positive
হাসতে হাসতে পেট ব্যথা হয়ে গেল সত্যি খুব মজার ভিডিও,Positive
"এটারই তো অপেক্ষা করছিলাম, খুব হেসেছি",Positive
"কত টাকা মাইনে জানতে পারলে ভালোই হতো আমাদের ঘরের বটিটার ধার আবার কমে গেছে, রাবণকে দিয়ে সান দেওয়াতাম",Negative
"আপনার কবিতা গুলো সেই,  হাসতে হাসতে পেট ব্যাথা হয়ে গেলো।",Positive
ফাটিয়ে দিয়েছো দিদি হাসতে হাসতে তো   শেষ,Positive
আমরা জানতাম লঙ্কার রাবণ এখানে রাবণের লঙ্কা,Negative
হায়রে হায় আজ যদি রাবণ বেচেঁ থাকত তাহলে   করতই,Negative
হাসতে হাসতে পেট শেষ  আপু তোমার কবিতা গুলো শুনে হাসি থামাতে পারিনা,Positive
রাবন কে দেখে হাসতে হাসতে পেটে্ ব্যাথা হয়ে গেল ...    ️,Positive
হাসতে হাসতে পেটে ব্যথা ধরে গেলো দিদি,Positive
ধিক্কার জানায় ডিরেক্টর কে।,Negative
"দিদি জানিনা রিপ্লাই ব্যাক পাবো কিনা , কিন্তু কোনো ইউটিউবার কে কমেন্টে এত রিপ্লাই দিতে দেখিনি ।️  রোস্ট টা দারুন লাগলো ️ আর তোমার শাড়িটা পাঠিয়ে দিতে বলো",Positive
দোতলা রাবন,Negative
এতো মজারে খা,Negative
এতো ভালো কবিতা!,Positive
দিদি সাথি সিরিয়াল এর একটা ভিডিও চাই,Negative
সত্যি বললে আপনার   তা করে দেখতে হয়,Negative
দাত কেলানো  বাদুড়,Negative
সিরাই সীরাই রক্ত  দিদির ভক্ত,Positive
তোমার কবিতা গুলো সেরা হয় দিদি,Positive
যাক বাবা আমি এখনো ভাগ্যিস দেখিনি,Negative
রাবন কম রাক্ষস বেশি লাগছে,Negative
এত দিনে বুঝতে পারছি  র থেকেও বাজে কিছু হয় তাও এত এত এত বড় স্কেলে। পারে মাইরি।,Negative
দিদি রাবন কিন্তু দুশ্চরিত্র নয়,Negative
আমি তোমার খুব বর ভক্ত  কিন্তু তুমিতো আমার কথার রিপ্লাই দাওনা দিদি,Positive
এ রকম বেকার বই কখনো দেখিনি দিদি,Negative
গরিব রাবণ,Negative
পার্ট টু চাইইইইই...কে কে একমত ?,Negative
ছন্দ ভালো হয় না বলার দরকার নেই,Negative
"মুভিটি ব্যান করে দেয়া উচিত, সনাতন ধর্মের বড় অপমান,",Negative
নিজের ধর্মকে নিয়ে কিছু  বানালে গায়ে লাগে যখন মুসলমানকে ছোট করে  ছবি বানানো হয় তখন মুসলমানদের কেমন লাগে,Negative
আমার কালো ধোন,Negative
কবিতা গুলো ভালো ছিল না,Negative
দিদি তোমার ছড়া দারুন,Positive
কবিতা জোস,Positive
কিন্তুু  বিভীষণের বা দেখতে খুব,Negative
আদি পুরুষ দেখে আমার রাবণের প্রতি দয়া হচ্ছে,Negative
রুচিবোধ আছে এমন  এর সংখ্যা কম!,Negative
ইসলাম ধর্ম নিয়ে এমন মুভি বানালে দেখতে কি হতো তোমাদের রামায়ন এর ইজ্জত  সোডা দিয়ে ধুয়ে দিলো,Negative
দোতলা রাবণ,Negative
ট্রেজার ইন,Negative
আপনি কি তাহলে সত্যিকারে রাম রাবণ সীতাকে তারা দেখেছেন মনে হচ্ছে নাকি আপনাকে ভক্তির সঙ্গে কল্পনা মিলিয়ে কথা বলছেন,Negative
"সস্তা ডাবল মিনিং ভিডিও,",Negative
বিয়ে করবো তোকে চলে আয় বাংলাদেশ।।,Negative
এতো বুদ্ধি রাখো কোথায়,Positive
এটি রামায়ণ নয়। রামায়ণের মতো একটা মুভি।  এই মুভি কে রামায়ণের সঙ্গে তুলনা করে পাপ তোমারা করছো  ওরা পাপ করছে না,Negative
লাউ তোমার রি কম ছিল এসো ডোপি,Negative
"আমার তো হেবি লাগলো ভিডিওটা কিন্তু তুমি প্পার্ট,2 বানাও না হলে সালারা শুধরাবে না",Positive
ঢিরেক্টর গাঁড় পাকা,Negative
তুমি কাউ কে ছারো নি না টাকার লোবে আর কি কি কোরবে তুমি লোকে জা করে কোরুক তাতে তোমার কি তোমার ওতো জলে কেনো তুমি নিজেই ভিডিও বানাতে তো পারো না আর লোকে ভিডিও বানাছে তাতে তোমার জোলছে,Negative
"তোমার শাড়ি ঝেপে দিয়েছে,? তারাতারি কেস করো,আমি দেখে নিবো বিষয় টা",Negative
ধর্ম কে.. যথেষ্ট অপমান করলে ছি দিদি ছি,Negative
রোস্ট করার আগে এত ছন্দ শোনাবেন না ভালো লাগেনা  @,Negative
বালের,Negative
"ওসব ফালতু গল্প বাদ দাও নিজের পোদে হাত দাও, আদি পুরুষ কিছুক্ষণ আগে দেখলাম খুব সুন্দর হয়েছে মুভি এক কথায় বলা গেলে মাস্টারপিস বানিয়েছে",Negative
তোমার খেয়ে দেয়ে কাজ নেই খালি ফালতো ভিডিও নিজে কোনো ভিডিও বানাতে পারেনা  খালি সবাকে কঠাকো করে,Negative
তুই অন্য কিছু টোল কর ধর্মী কিছু নিয়ে টোল করিস না,Negative
ফালতু কবিতা ।,Negative
"ভালো লেগেছে , আমার এই ভিডিও টা নয় অদিপুরুষ সিনেমা টা ।  হতেই পারে একটু আলাদা , রামায়ণ না মনে হলেও   লেগেছে । একটু আলাদা , সবসময় একই বানাতে হলে , নতুন করে বানানোর কি প্রয়োজন । আর হ্যা রাবনের দশটা মুণ্ড এবং দশটা হাতও ছিলো । না জেনে অযথা প্যাক প্যাক করে এসে ভিডিও বানাবেন না , এক ফোটাও হাসি পেলো না ।",Negative
"কত টাকা মাইনে জানতে পারলে ভালোই হতো আমাদের ঘরের বটিটার ধার আবার কমে গেছে, রাবণকে দিয়ে সান দেওয়াতাম",Negative
"আপনার কবিতা গুলো সেই,  হাসতে হাসতে পেট ব্যাথা হয়ে গেলো।",Positive
ফাটিয়ে দিয়েছো দিদি হাসতে হাসতে তো   শেষ,Positive
আমরা জানতাম লঙ্কার রাবণ এখানে রাবণের লঙ্কা,Negative
হায়রে হায় আজ যদি রাবণ বেচেঁ থাকত তাহলে   করতই,Negative
হাসতে হাসতে পেট শেষ  আপু তোমার কবিতা গুলো শুনে হাসি থামাতে পারিনা,Positive
রাবন কে দেখে হাসতে হাসতে পেটে্ ব্যাথা হয়ে গেল ...    ️,Positive
হাসতে হাসতে পেটে ব্যথা ধরে গেলো দিদি,Positive
ধিক্কার জানায় ডিরেক্টর কে।,Negative
"দিদি জানিনা রিপ্লাই ব্যাক পাবো কিনা , কিন্তু কোনো ইউটিউবার কে কমেন্টে এত রিপ্লাই দিতে দেখিনি ।️  রোস্ট টা দারুন লাগলো ️ আর তোমার শাড়িটা পাঠিয়ে দিতে বলো",Positive
আমি আশায় ছিলাম যে দিদি তোমার রিভিউয় কখন আসবে ফাইনালি চলে এলো খুব মজা লাগলো,Positive
কলির আদি পুরুষ,Negative
দিদি ভিডিওটা খুব ভালো কবিতাগুলো তো খুবই ভালো,Positive
মন খারাপ ছিল   এটা দেখার পর  হাসি থামাতে পারছি না,Positive
দিদি তুমি সেই লেভেলের কমিডিয়ান।আর কবিতা গোলো  অসাধারণ,Positive
সত্যি দিদি হাসতে হাসতে পেটে ব্যথা হয়ে গেল।,Positive
দিদি তুমি এতো সুন্দর করে ভাবো কি করে?  তুমি সত্যি অসাধারণ,Positive
দারুন ছিল  কিন্তু আগের রামায়ণ ওনেক ভালো এই  ভুলে ভরা,Positive
এ গিয়ে চিন্তায় পড়ে গিয়ে ছিলাম আমি,Positive
"আমি যাবো ভেবেছিলাম, কিন্তু রিভিউ গুলো দেখে আর সাহস হয়নি। রামায়ণ, মহাভারতের জন্য আমাদের 90 এর দশকের রামানন্দ সাগরজির রামায়ণ, মহাভারতই সেরা। মনের মধ্যে সেটাই গভীর ভাবে বসে আছে। কেউ পারবে না, সেখান থেকে তুলতে।",Negative
এই  টার অপেক্ষা তেই তো ছিলাম     বিভিষনের বউ আর রাবনের  টার তো কথাই হবে না,Negative
"ত্রিপুরা থেকে দেখি, খুব ভাল লাগে আপনার ভিডিও হিন্দি রোস্টারদের ভিডিও থেকে আপনার কবিতাগুলি আপনার ভিডিওকে একটা অন্ন মাত্রায় নিয়ে যায়।",Positive
বেশ মজার ছিল,Positive
ঠিক জায়গায় সুরক্ষিত আমার কালো ধন ...,Positive
"হা হা হা! ""বিভীষণের বউ এতোটা খোলা মনের""",Negative
রাবণের মাথার ডিজাইন দেখে হাসতে হাসতে পেট ব্যথা হয়ে গেল,Negative
আমার মনে হচ্ছে রাবণের মাথা গুলো দু থাকে না সাজিয়ে একবারে কলসির মত থাক থাক করে সাজালি হত,Negative
"আদিপুরুষ সিনেমা টা রিলিজ হলো কি করে??ডাইরেক্ট  তৈরি করার সময় একটু ভেবে করা উচিত ছিল, তাহলে আদিপুরুষ এত টা সমালোচনা  প্রাপ্য হতো না",Negative
দিদি তোমার কবিতা গুলা সেই হয় আমি তো ভিডিও কম কবিতা তাই বার বার করে শুনি,Positive
সুর্পোনোখার  কাছ থেকে একটা   আমারও তো,Negative
দিদি  হাসতে হাসতে পেট ধরে  গেল কবিতাগুলোর তুলনা হয় না,Positive
আমার মনে হয় ইচ্ছাকৃত ভাবেই এই মুভিতে এইসব ভুল করা হয়েছে।,Negative
দিদি আপনার কবিতা যদি বইতে থাকতো তাহলে সবাই সারাদিন কদিতার বই নিয়েই পরে থাকতো।,Positive
1:26 বিশাল বড় লংকা,Positive
"ঠিক বলেছো দিদি পুরাণ কথায় যে রামায়ণ পড়েছি সেই রামায়ণের অপমান করেছে ডায়রেক্টর আদিপুরুষ মুভির টা করে,, ওনার কোনো সাধারণ অভিজ্ঞতা নেই।",Negative
",  ফাটিয়ে",Positive
ভিডিও টা আসলেই মজার ছিল,Positive
আজ অনেক দিন পর তোমার ভিডিও দেখে মনটা আমার অনেক অনেক ভালো হয়ে গেলো আর এখন কবিতা গুলো আরও দারুন লাগছে দিদি,Positive
হাহা রিয়্যাক্ট দেয়ার ব্যবস্থা থাকলে ভালো হতো,Negative
সেই দিলি  হাসতে হাসতে অবস্থা খারাপ,Positive
আর ভিডিও গুলো আরো বড় করো তোমার ভিডিও দেখতে খুব ভালো লাগে,Positive
বিভীষণ তোমার শাড়ি ঝেঁপে দিল আর তুমি টের ও পেলে না  দারুন হয়েছে ভিডিও টা,Positive
তোমার রস্টিং এর সাথে করো তুলনা হবে না,Positive
রাবণের সোনার লঙ্কা ছিল কয়লার লঙ্কা কবে থেকে হলো,Positive
আপনার ভিডিও রাতারাতি ভিউ প হয়ে যায়। যা অন্যান্য চ্যানেল সাথে সাথে এমন ভিউ পায় না। শুভ কামনা।,Positive
"আদিপুরুষ সিনেমাটা দেখতে দেখতে কিছু হলিউড সিনেমার কথা মনে পড়ে গেল, যেমন -  ,  ,  , ,  4, ,  ইত্যাদি। অথচ যে বিষয় নিয়ে সিনেমাটা তৈরী সেটার কথা মনে এলো না। আমার মনে কিছু জিনিস -ই ভালো, তার -এর প্রয়োজন নেই।",Negative
"স্বর্ণলঙ্কা'-র কথা শুনেছিলাম, কিন্তু এ তো দেখছি 'কেল্টিলঙ্কা'  ।।।",Negative
"হরোগৌড়ি পাইস হোটেল ,,, রঙাবৌ,,,তুতে ,,,সন্ধ্যাতারা ,,,,ফুলকি,,, নিম ফুলের মধু,,, এগুলো নিয়ে খুব তাড়াতাড়ি আসো প্লিজ   রইল",Negative
দিদি এমন ভিডিও আরো চাই,Positive
রাম রাবণের ডেরেসর  মধ্যে কোন সমতা নেই। সোনার লংকা থেকে ভুতের লঙ্কা বানাইছে। এটা দেখার সময় মনে হচ্ছিল মাঝে মাঝে কার্টুন দেখতেছি।,Positive
"এটা তো শুধু রাবণের নিয়ে বললে দিদি,বাকি মুভির জন্য পার্ট 2 চাই ️️",Positive
"দেখেছি, ছেলে বোউমা নাতি দেখাতে নিয়ে গেলো আদিপুরুষ।  গেলাম  ঠিকই, মনে হচ্ছে কি পাপ ই না করলাম এই বয়েসে।সেই ছোটো বেলা থেকে রামায়ণে পড়েছি ।কিন্তু এতো নিম্নস্তরের দেখতে হবে ভাবতে  পারিনি।।",Negative
দিদি হেসে হেসে জান খারাপ হয়ে গেলো গো,Positive
তোমার  এর জন্য  করেছিলাম   দারুণ,Positive
দারুন ছিল ভিডিওটা হাসতে হাসতে পেটে খিল ধরলে । আদিপুরুষ আসলে বাংলা সিরিয়াল ও‌ মহালয় ছোঁয়াচে সিনেমা। এটাকে রামায়ণ ভাবার কোনো কারণ নেই কারণ এটা হল বাহুবলি 3।,Positive
"দিদি হাসতে হাসতে আমি আজ শেষ।দিদি দারুন হয়েছে।আমি বাংলাদেশ থেকে,তোমার ভিডিও গুলো দেখি।আমার খুব ভালো লাগে।",Positive
দারুন দারুন। হাসতে হাসতে পেটে ব্যাথা হয়ে গেল।,Positive
শুরু থেকে শেষ পর্যন্ত পুরোটাই সেরা,Positive
"দারুণ ভিডিও , ভীষণ ভালো লাখল",Positive
বিভীষণ লাল কালো শাড়ি টাও ঝেঁপে দিয়েছে!!... এটা দারুন ছিল,Negative
দিদি আমি হাসতে হাসতে খাট থেকে পরে গেছি আমার কাছে দেখা বেস্ট রোস্টার তুমি না কাউকে গালি দাও কবিতা দিয়ে উচিত কথা বলে দাও,Positive
তা হলে আমার কথাটা রেখেছো দিদি।আমি হলাম তোমার পরিবারের একজন নিয়োমিত একজন শ্রোতা।অসাধারণ।,Positive
ধর্মকে এতো নিচে নামিয়েছে মুভি টা ব্যান্ড করা হোক,Negative
লাল কালো শাড়ীর ব্যাপারটা দারুন ছিলো,Negative
"হিন্দী একটু কম বুঝি তাই হিন্দী রোস্টারদের ভিডিও দেখে মজা পাচ্ছিলাম না কিন্তু অবশেষে তোমার ভিডিওটা আসলো , জিও দিদি ।",Negative
দিদি আমি বাংলাদেশ থেকে বলছি। আমাদের দেশে আপনার অনেক ফ্যান আছে। আপনার ভিডিও গুলো আমি আর আমার সব বন্ধুরাই দেখি।আর পরের ভিডিওর জন্য অপেক্ষা করি। আপনি যদি আমাদের দেশের টিকটকার আর সিনেমার নায়কদের নিয়ে কিছু ভিডিও বানান তাহলে অনেক খুশি হব।এরা এমন সব সিনেমা আর টিকটক ভিডিও বানায় যেগুলো সুস্থ মস্তিস্ক থাকলে কেউ বানাতো না। এদের জন্য এখানের ইয়াং ছেলেমেয়েরা বিপথে যাচ্ছে । তাই আমার অনুরোধ আপনার কাছে যে আপনি আমাদের দেশের মিডিয়া সেলিব্রিটিদের নিয়ে ভিডিও বানাবেন দয়া করে।,Positive
দিদি তুমি মেডির খবর নিয়েছো ম্যাডির বিয়ে হতে চলেছে ওর জন্য একটা রোস্টিং ভিডিও বানাও,Negative
তোমারে সেলাম  এরকম শুধু তুমিই পারো।। কোনো নেগেটিভ কথা নাবলেও এতো সুন্দর করে হাসাতে পারো।।,Positive
আমাদের দ্বিতীয় ক্যারিমিনাটি।,Negative
কবিতা শুনে আমি বেহুশ কি ছিল ওগুলো,Positive
ঠিক বললে দিদি এ মোভি দেখে আমার হাসতে হাসতে অবস্থায় খারাপ.,Positive
তুমি পারো বটে সোনা। অস্থির লেভেলের ছিলো সবটা। ভিডিও আরো লম্বা বানাও। এটুকু দেখে আমার মন ভরে না।,Positive
অসাধারণ রিভিউ জাস্ট ফাটাফাটি কোনো কথা হবে না,Negative
আমি  টা এখনো পর্যন্ত দেখিনি  আর দেখতে ইচ্ছা করছে না,Negative
বিশাল বড় লঙ্কা,Negative
ট্রেইলার দেখেই বুঝতে পেরেছিলাম কি হবে। তাই আর মুভি দেখে সময় নষ্ট করিনি। বিগ বাজেটের কার্টুন!,Negative
আদিপুরুষ দেখে রামায়ণ ভুলে গিয়েছি,Negative
"আমার মনে হয় ওটা রাবণের লঙ্কা না, অ্যানাকোন্ডার লেজ হবে হয়তো",Negative
ভাগ্যিস হলে গিয়ে দেখিনি। থ্যাংক গড,Negative
বোন তোমার ভিডিও অনেক দিন পরে দেখলাম খুব ভালো লাগলো,Positive
"সেরা দিদি, সেরা এটা। খুব হেসেছি",Positive
কমলা ও শ্রীমান পৃথ্বীরাজ সিরিয়ালের রোস্ট ভিডিও চাই,Positive
এই মুভির রাবণ কে দেখে স্বয়ং রাবণ ও আত্মহত্যা করবে দিদি,Negative
"দশটা হাতের কথা যেটা বললে, রাবণের ২০টা হাত আর দশটা মাথা ছিলো।   রামায়ণ",Negative
বিভীষণের বউ খোলা মনের আর বড় হৃদয়ের,Negative
দিদি খুব ভালো হয়েছে   যখন আমার মন খারাপ হয় তখন তোমার   দেখে খুব ভালো  লাগে,Positive
আমার তো মনে হয় মুভিটা এভাবে জঘন্য করে ইচ্ছা করেই বানিয়েছে।নেগেটিভ মার্কেটিং এর জন্য,Negative
সত্যি তারা তাদের নিজেদের রামায়ণ ই যানে না... আমি গর্বিত আমি মুসলিম..,Negative
"আমি খুব খুশি বাস্তব কথা বলেছ ,র ডিরেক্টরের মুখে ঝামা ঘষে দিয়েছ দি",Negative
দিদির ছড়াগুলো একদম সেই হেভি ট্যালেন্ট দিদির,Negative
এটা সেরা    এর উপর।,Positive
হাসতে হাসতে পুরো শেষ,Positive
রিভিউ দেখে আদিপুরুষ মুভি দেখার ইন্টারেস্ট চলে গেলো,Negative
বিশাল বড়ো লংকা আর কালো টাকার কথা বলছিসেই ছিল,Negative
বিশ্বাস করো রি দি এই রামায়ণের থেকে পরীক্ষার খাতায় আমি ভালো রামায়ণ লিখে দিয়া আসতে পারব 🫠,Negative
রাবণের দশটা হাত ছিল । পুরানেও অনেক চিত্রতে তার দশটি মাথার সাথে দশটি হাত দেখানো আছে ।,Negative
সেই মজা পেলাম দিদি,Positive
এটা কি দেখলাম ভাই  যাকে ভলে ঠান্ডা মাথায় পিছন মেরে দেওয়া,Negative
দিদি তোমার কবিতাগুলো সেরা..সেরা....আর বিভীষণ খুব অন্যায় করেছে তোমার লাল-কালো শাড়িটা ঝেঁপে দিযে,Positive
বিভীষণের বৌকে দেখে আমি হলাম চিত  পাড়ার ছেলে গুলো সব দেখেই হলো ফিট,Negative
তোমার   গুলো  খুব ভালো লাগে,Positive
ওরে শাড়ি মিলে গেছে সেই মজা পাইছি,Positive
দিদি হেসে হেসে জান খারাপ হয়ে গেলো গো,Positive
তোমার  এর জন্য  করেছিলাম   দারুণ,Positive
দারুন ছিল ভিডিওটা হাসতে হাসতে পেটে খিল ধরলে । আদিপুরুষ আসলে বাংলা সিরিয়াল ও‌ মহালয় ছোঁয়াচে সিনেমা। এটাকে রামায়ণ ভাবার কোনো কারণ নেই কারণ এটা হল বাহুবলি 3।,Positive
"দিদি হাসতে হাসতে আমি আজ শেষ।দিদি দারুন হয়েছে।আমি বাংলাদেশ থেকে,তোমার ভিডিও গুলো দেখি।আমার খুব ভালো লাগে।",Positive
দারুন দারুন। হাসতে হাসতে পেটে ব্যাথা হয়ে গেল।,Positive
শুরু থেকে শেষ পর্যন্ত পুরোটাই সেরা,Positive
"দারুণ ভিডিও , ভীষণ ভালো লাখল",Positive
বিভীষণ লাল কালো শাড়ি টাও ঝেঁপে দিয়েছে!!... এটা দারুন ছিল,Negative
দিদি আমি হাসতে হাসতে খাট থেকে পরে গেছি আমার কাছে দেখা বেস্ট রোস্টার তুমি না কাউকে গালি দাও কবিতা দিয়ে উচিত কথা বলে দাও,Positive
তা হলে আমার কথাটা রেখেছো দিদি।আমি হলাম তোমার পরিবারের একজন নিয়োমিত একজন শ্রোতা।অসাধারণ।,Positive
ধর্মকে এতো নিচে নামিয়েছে মুভি টা ব্যান্ড করা হোক,Negative
লাল কালো শাড়ীর ব্যাপারটা দারুন ছিলো,Negative
ওরে শাড়ি মিলে গেছে সেই মজা পাইছি,Positive
আজ তোমাকে লাল  কালো  শাড়ি পরে সত্যিই খুব সুন্দর লাগছে,Positive
তোমার কবিতা গুলো খুব মজার...,Positive
ও দিভাই তুমি ফাটিয়ে দিয়েছো দারুন হয়েছ,Positive
সোনার লঙ্কা কোথায় গেলে,Positive
এটা নতুন রাবণ দ্বিতল বিশিষ্ট,Negative
সেরা,Positive
দিদি আপনি অনেক কিউট,Positive
"দিদি অনেকে এই মুভিটাকে নিয়ে রোস্ট করেছে কিন্তু সবার মধ্যে তুমি সেরা দিদি,️",Positive
সব ই ঐ গাজার কামাল,Negative
বিভীষণ এটা ঠিক করেনি বউ শাড়ি খুলে ফেলছে বলে দিদির শাড়ি চুড়ি করবে,Negative
অনেক দিন পর প্রান খুলে হাসলাম।,Positive
বলো বলো আরো বলো বেশ মজা নিলাম,Positive
আপনার  কবিতাগুলো সেই রকম মজার।,Positive
এর থেকে অনেক ভালো আমাদের বাংলা ইন্ডাস্ট্রি ️,Negative
"ভুল যেটা বললে তা রাবণের কিটো জুতো পরা নিয়ে ভিকিরী বলা, যদিও রাবণ সীতার কাছে ভিকিরীর বেসেই গেছলো।@",Negative
দারুন দারুন। ️,Positive
আপু হিন্দি সিরিয়াল মন সুন্দর দিয়ে একটা করবেন সেটাতেও এক নায়কের  অনেক বিয়ে হয় প্লিজ তাদের নিয়ে একটা ভিডিও করবেন,Positive
দারুন,Positive
দিদি তোমার সায়েরিগুলো দারুণ । এ হল বর্তমান যুগের রামায়ণ ।,Negative
বাহ্ দিদি ডাইলগ গুলো অস্তির,Positive
হাসতে হাসতে আমি শেষ!,Positive
আপনাদের এই রোস্টের কারণেই আদিপুরুষ আজকে ফ্লপ,Negative
কয়লার লঙ্কা! দোতলা রাবণ,Negative
জ্ঞান থাকলে তবে না সেরম করবে,Negative
দাঁত কেলানো বাদুর,Negative
দাত কেলানো বাদর  নাকি রাবণের রথ।,Negative
লোকজনের  দেখে আদিপুরুষ দেখার ইচ্ছের ছিটে ফোঁটাও আর অবশিষ্ট নেই,Negative
ভূত রাবন না রাবন ভুত। কি বলবো কিছুই বুঝতে পারছি না।,Negative
আমি হাসতে হাসতে শেষ,Positive
বিভীষণের বউ খানা কি ভীষণ হট,Negative
কলিযুগের রামায়ণ,Negative
দিদি কবিতা গুলো সেরা,Positive
রাবণের দশটা মাথা আর কুড়িটা হাত।,Negative
ও দিদি অনেক হাসালে,Positive
দিদি একটা হিন্দি রিয়াল আছে দাঙ্গাল চ্যানেলে হয় পালকো কি চাও মে 2 এটা নিয়ে একটু মজা চাই দয়া করে একটু কইরো,Negative
সেরা,Positive
এর আরেকটা  দাও প্লিজ,Positive
দারুন,Positive
দিদিভাই বাম্পার ভিডিও বানাও তুমি,Positive
অসাধারণ বাঁশটা দিলেন ৷,Negative
