comments,reaction_type
রাবণের তো সোনার লঙ্কা ছিল এতো পুরো কয়লা খনি লাগছে,negative
রাবণের মাথা শ্রেণি সমবায় থেকে সমান্তরাল সমবায় করে দিয়েছে,negative
কবিতা গুলো বেশ ভালো ছিল হাসতে হাসতে পেট ব্যাথা করছে,positive
হাসতে হাসতে পেট ব্যাথা,positive
 দাঁত কেলানো বাদুর ,negative
"আমাদের বাড়ির বটি টার ধার কমে গেছে,  রাবনকে দিয়ে ধার দাওয়াতাম সেরা লাইন",negative
রাবণ নিজেকে দেখেই ভয় পেয়ে যাবে,negative
পুরো ভিডিও দেখার আগে বলি,neutral
তোমার কবিতাগুলো সত্যিই অসাধারণ আজকের ভিডিওটা দারুন হয়েছে হাসতে হাসতে পেটে খিল ধরে গেলো একটু তাড়াতাড়ি ভিডিও দেওয়ার চেষ্টা করবে তোমার ভিডিওর অপেক্ষায় থাকি,positive
দিদি আপনার ভিডিও এর অপেক্ষায় ছিলাম ... দারুন লাগলো আর প্রচুর হাসলাম,positive
তোমার ভিডিওর অপেক্ষায় ছিলাম,positive
দিদি হাসতে হাসতে পেট ব্যাথা হয়ে গেল,positive
এটার অপেক্ষা করছিলাম.... তুমি সেরা,positive
চরিত্রের বর্ণনাগুলো এত সুন্দর করে তুলে ধরার জন্য সত্যিই খুব ভালো লেগেছে তোমার ভিডিও,positive
সবাই রোস্ট করছে... আমি ভাবছিলাম তুমি কবে করবে। এবার মজা জমবে। দাঁড়াও মন দিয়ে দেখি ভিডিওটা,positive
দিদি সত্যি গো তোমার কোনো তুলনা হয় না,positive
আমি অপেক্ষা করছিলাম আর চাইছিলাম তুমি যাতে এই   এ ভিডিও দাও। হাসতে হাসতে আমি শেষ। দারুন হয়েছে রিশা দি তুমি এতো  ।  .,positive
হাসতে হাসতে পেট ব্যথা হয়ে গেল সত্যি খুব মজার ভিডিও,positive
"এটারই তো অপেক্ষা করছিলাম, খুব হেসেছি",positive
"কত টাকা মাইনে জানতে পারলে ভালোই হতো আমাদের ঘরের বটিটার ধার আবার কমে গেছে, রাবণকে দিয়ে সান দেওয়াতাম",negative
"আপনার কবিতা গুলো সেই,  হাসতে হাসতে পেট ব্যাথা হয়ে গেলো।",positive
ফাটিয়ে দিয়েছো দিদি হাসতে হাসতে তো   শেষ,positive
আমরা জানতাম লঙ্কার রাবণ এখানে রাবণের লঙ্কা,negative
হায়রে হায় আজ যদি রাবণ বেচেঁ থাকত তাহলে   করতই,negative
হাসতে হাসতে পেট শেষ  আপু তোমার কবিতা গুলো শুনে হাসি থামাতে পারিনা,positive
রাবন কে দেখে হাসতে হাসতে পেটে্ ব্যাথা হয়ে গেল ...    ️,positive
হাসতে হাসতে পেটে ব্যথা ধরে গেলো দিদি,positive
ধিক্কার জানায় ডিরেক্টর কে।,negative
"দিদি জানিনা রিপ্লাই ব্যাক পাবো কিনা , কিন্তু কোনো ইউটিউবার কে কমেন্টে এত রিপ্লাই দিতে দেখিনি ।️  রোস্ট টা দারুন লাগলো ️ আর তোমার শাড়িটা পাঠিয়ে দিতে বলো",positive
দোতলা রাবন,negative
এতো মজারে খা,negative
এতো ভালো কবিতা!,positive
দিদি সাথি সিরিয়াল এর একটা ভিডিও চাই,negative
"আপনার পোষ্টে কমেন্ট না করে পারিনা,,",neutral
দিদি তুমি ভিডিও দিতে এত দেরি করো কেনো,neutral
সত্যি বললে আপনার   তা করে দেখতে হয়,negative
দাত কেলানো  বাদুড়,negative
সিরাই সীরাই রক্ত  দিদির ভক্ত,positive
তোমার কবিতা গুলো সেরা হয় দিদি,positive
যাক বাবা আমি এখনো ভাগ্যিস দেখিনি,negative
রাবন কম রাক্ষস বেশি লাগছে,negative
এত দিনে বুঝতে পারছি  র থেকেও বাজে কিছু হয় তাও এত এত এত বড় স্কেলে। পারে মাইরি।,negative
দিদি রাবন কিন্তু দুশ্চরিত্র নয়,negative
রাবণ  ছিল,neutral
আমি তোমার খুব বর ভক্ত  কিন্তু তুমিতো আমার কথার রিপ্লাই দাওনা দিদি,positive
এ রকম বেকার বই কখনো দেখিনি দিদি,negative
গরিব রাবণ,negative
পার্ট টু চাইইইইই...কে কে একমত ?,negative
ছন্দ ভালো হয় না বলার দরকার নেই,negative
"মুভিটি ব্যান করে দেয়া উচিত, সনাতন ধর্মের বড় অপমান,",negative
নিজের ধর্মকে নিয়ে কিছু  বানালে গায়ে লাগে যখন মুসলমানকে ছোট করে  ছবি বানানো হয় তখন মুসলমানদের কেমন লাগে,negative
আমার কালো ধোন,negative
কবিতা গুলো ভালো ছিল না,negative
দিদি তোমার ছড়া দারুন,positive
কবিতা জোস,positive
কিন্তুু  বিভীষণের বা দেখতে খুব,negative
আদি পুরুষ দেখে আমার রাবণের প্রতি দয়া হচ্ছে,negative
রুচিবোধ আছে এমন  এর সংখ্যা কম!,negative
ইসলাম ধর্ম নিয়ে এমন মুভি বানালে দেখতে কি হতো তোমাদের রামায়ন এর ইজ্জত  সোডা দিয়ে ধুয়ে দিলো,negative
দোতলা রাবণ,negative
জয় শ্রী রাম,neutral
ট্রেজার ইন,negative
আপনি কি তাহলে সত্যিকারে রাম রাবণ সীতাকে তারা দেখেছেন মনে হচ্ছে নাকি আপনাকে ভক্তির সঙ্গে কল্পনা মিলিয়ে কথা বলছেন,negative
"সস্তা ডাবল মিনিং ভিডিও,",negative
বিয়ে করবো তোকে চলে আয় বাংলাদেশ।।,negative
এতো বুদ্ধি রাখো কোথায়,positive
এটি রামায়ণ নয়। রামায়ণের মতো একটা মুভি।  এই মুভি কে রামায়ণের সঙ্গে তুলনা করে পাপ তোমারা করছো  ওরা পাপ করছে না,negative
লাউ তোমার রি কম ছিল এসো ডোপি,negative
বিশাল,neutral
আদিপুরুষ ...,neutral
"আমার তো হেবি লাগলো ভিডিওটা কিন্তু তুমি প্পার্ট,2 বানাও না হলে সালারা শুধরাবে না",positive
ঢিরেক্টর গাঁড় পাকা,negative
তুমি কাউ কে ছারো নি না টাকার লোবে আর কি কি কোরবে তুমি লোকে জা করে কোরুক তাতে তোমার কি তোমার ওতো জলে কেনো তুমি নিজেই ভিডিও বানাতে তো পারো না আর লোকে ভিডিও বানাছে তাতে তোমার জোলছে,negative
"তোমার শাড়ি ঝেপে দিয়েছে,? তারাতারি কেস করো,আমি দেখে নিবো বিষয় টা",negative
ধর্ম কে.. যথেষ্ট অপমান করলে ছি দিদি ছি,negative
রোস্ট করার আগে এত ছন্দ শোনাবেন না ভালো লাগেনা  @,negative
বালের,negative
"ওসব ফালতু গল্প বাদ দাও নিজের পোদে হাত দাও, আদি পুরুষ কিছুক্ষণ আগে দেখলাম খুব সুন্দর হয়েছে মুভি এক কথায় বলা গেলে মাস্টারপিস বানিয়েছে",negative
তোমার খেয়ে দেয়ে কাজ নেই খালি ফালতো ভিডিও নিজে কোনো ভিডিও বানাতে পারেনা  খালি সবাকে কঠাকো করে,negative
তুই অন্য কিছু টোল কর ধর্মী কিছু নিয়ে টোল করিস না,negative
ফালতু কবিতা ।,negative
"ভালো লেগেছে , আমার এই ভিডিও টা নয় অদিপুরুষ সিনেমা টা ।  হতেই পারে একটু আলাদা , রামায়ণ না মনে হলেও   লেগেছে । একটু আলাদা , সবসময় একই বানাতে হলে , নতুন করে বানানোর কি প্রয়োজন । আর হ্যা রাবনের দশটা মুণ্ড এবং দশটা হাতও ছিলো । না জেনে অযথা প্যাক প্যাক করে এসে ভিডিও বানাবেন না , এক ফোটাও হাসি পেলো না ।",negative
"কত টাকা মাইনে জানতে পারলে ভালোই হতো আমাদের ঘরের বটিটার ধার আবার কমে গেছে, রাবণকে দিয়ে সান দেওয়াতাম",negative
"আপনার কবিতা গুলো সেই,  হাসতে হাসতে পেট ব্যাথা হয়ে গেলো।",positive
ফাটিয়ে দিয়েছো দিদি হাসতে হাসতে তো   শেষ,positive
আমরা জানতাম লঙ্কার রাবণ এখানে রাবণের লঙ্কা,negative
হায়রে হায় আজ যদি রাবণ বেচেঁ থাকত তাহলে   করতই,negative
হাসতে হাসতে পেট শেষ  আপু তোমার কবিতা গুলো শুনে হাসি থামাতে পারিনা,positive
রাবন কে দেখে হাসতে হাসতে পেটে্ ব্যাথা হয়ে গেল ...    ️,positive
হাসতে হাসতে পেটে ব্যথা ধরে গেলো দিদি,positive
ধিক্কার জানায় ডিরেক্টর কে।,negative
"দিদি জানিনা রিপ্লাই ব্যাক পাবো কিনা , কিন্তু কোনো ইউটিউবার কে কমেন্টে এত রিপ্লাই দিতে দেখিনি ।️  রোস্ট টা দারুন লাগলো ️ আর তোমার শাড়িটা পাঠিয়ে দিতে বলো",positive
আমি আশায় ছিলাম যে দিদি তোমার রিভিউয় কখন আসবে ফাইনালি চলে এলো খুব মজা লাগলো,positive
কলির আদি পুরুষ,negative
দিদি ভিডিওটা খুব ভালো কবিতাগুলো তো খুবই ভালো,positive
মন খারাপ ছিল   এটা দেখার পর  হাসি থামাতে পারছি না,positive
দিদি তুমি সেই লেভেলের কমিডিয়ান।আর কবিতা গোলো  অসাধারণ,positive
সত্যি দিদি হাসতে হাসতে পেটে ব্যথা হয়ে গেল।,positive
দিদি তুমি এতো সুন্দর করে ভাবো কি করে?  তুমি সত্যি অসাধারণ,positive
দারুন ছিল  কিন্তু আগের রামায়ণ ওনেক ভালো এই  ভুলে ভরা,positive
এ গিয়ে চিন্তায় পড়ে গিয়ে ছিলাম আমি,positive
"আমি যাবো ভেবেছিলাম, কিন্তু রিভিউ গুলো দেখে আর সাহস হয়নি। রামায়ণ, মহাভারতের জন্য আমাদের 90 এর দশকের রামানন্দ সাগরজির রামায়ণ, মহাভারতই সেরা। মনের মধ্যে সেটাই গভীর ভাবে বসে আছে। কেউ পারবে না, সেখান থেকে তুলতে।",negative
এই  টার অপেক্ষা তেই তো ছিলাম     বিভিষনের বউ আর রাবনের  টার তো কথাই হবে না,negative
"ত্রিপুরা থেকে দেখি, খুব ভাল লাগে আপনার ভিডিও হিন্দি রোস্টারদের ভিডিও থেকে আপনার কবিতাগুলি আপনার ভিডিওকে একটা অন্ন মাত্রায় নিয়ে যায়।",positive
বেশ মজার ছিল,positive
ঠিক জায়গায় সুরক্ষিত আমার কালো ধন ...,positive
"হা হা হা! ""বিভীষণের বউ এতোটা খোলা মনের""",negative
অনেক দিন অপেক্ষা করতে হল,neutral
আদিপুরুষ না দিয়ে,neutral
রাবণের মাথার ডিজাইন দেখে হাসতে হাসতে পেট ব্যথা হয়ে গেল,negative
আমার মনে হচ্ছে রাবণের মাথা গুলো দু থাকে না সাজিয়ে একবারে কলসির মত থাক থাক করে সাজালি হত,negative
"আদিপুরুষ সিনেমা টা রিলিজ হলো কি করে??ডাইরেক্ট  তৈরি করার সময় একটু ভেবে করা উচিত ছিল, তাহলে আদিপুরুষ এত টা সমালোচনা  প্রাপ্য হতো না",negative
দিদি তোমার কবিতা গুলা সেই হয় আমি তো ভিডিও কম কবিতা তাই বার বার করে শুনি,positive
সুর্পোনোখার  কাছ থেকে একটা   আমারও তো,negative
দিদি  হাসতে হাসতে পেট ধরে  গেল কবিতাগুলোর তুলনা হয় না,positive
আমার মনে হয় ইচ্ছাকৃত ভাবেই এই মুভিতে এইসব ভুল করা হয়েছে।,negative
দিদি আপনার কবিতা যদি বইতে থাকতো তাহলে সবাই সারাদিন কদিতার বই নিয়েই পরে থাকতো।,positive
1:26 বিশাল বড় লংকা,positive
"ঠিক বলেছো দিদি পুরাণ কথায় যে রামায়ণ পড়েছি সেই রামায়ণের অপমান করেছে ডায়রেক্টর আদিপুরুষ মুভির টা করে,, ওনার কোনো সাধারণ অভিজ্ঞতা নেই।",negative
",  ফাটিয়ে",positive
ভিডিও টা আসলেই মজার ছিল,positive
আজ অনেক দিন পর তোমার ভিডিও দেখে মনটা আমার অনেক অনেক ভালো হয়ে গেলো আর এখন কবিতা গুলো আরও দারুন লাগছে দিদি,positive
হাহা রিয়্যাক্ট দেয়ার ব্যবস্থা থাকলে ভালো হতো,negative
সেই দিলি  হাসতে হাসতে অবস্থা খারাপ,positive
আর ভিডিও গুলো আরো বড় করো তোমার ভিডিও দেখতে খুব ভালো লাগে,positive
বিভীষণ তোমার শাড়ি ঝেঁপে দিল আর তুমি টের ও পেলে না  দারুন হয়েছে ভিডিও টা,positive
তোমার রস্টিং এর সাথে করো তুলনা হবে না,positive
রাবণের সোনার লঙ্কা ছিল কয়লার লঙ্কা কবে থেকে হলো,positive
আপনার ভিডিও রাতারাতি ভিউ প হয়ে যায়। যা অন্যান্য চ্যানেল সাথে সাথে এমন ভিউ পায় না। শুভ কামনা।,positive
"আদিপুরুষ সিনেমাটা দেখতে দেখতে কিছু হলিউড সিনেমার কথা মনে পড়ে গেল, যেমন -  ,  ,  , ,  4, ,  ইত্যাদি। অথচ যে বিষয় নিয়ে সিনেমাটা তৈরী সেটার কথা মনে এলো না। আমার মনে কিছু জিনিস -ই ভালো, তার -এর প্রয়োজন নেই।",negative
একটু তাড়াতাড়ি ভিডিও দিও প্লিজ,neutral
"স্বর্ণলঙ্কা'-র কথা শুনেছিলাম, কিন্তু এ তো দেখছি 'কেল্টিলঙ্কা'  ।।।",negative
"হরোগৌড়ি পাইস হোটেল ,,, রঙাবৌ,,,তুতে ,,,সন্ধ্যাতারা ,,,,ফুলকি,,, নিম ফুলের মধু,,, এগুলো নিয়ে খুব তাড়াতাড়ি আসো প্লিজ   রইল",negative
দিদি এমন ভিডিও আরো চাই,positive
রাম রাবণের ডেরেসর  মধ্যে কোন সমতা নেই। সোনার লংকা থেকে ভুতের লঙ্কা বানাইছে। এটা দেখার সময় মনে হচ্ছিল মাঝে মাঝে কার্টুন দেখতেছি।,positive
"এটা তো শুধু রাবণের নিয়ে বললে দিদি,বাকি মুভির জন্য পার্ট 2 চাই ️️",positive
"দেখেছি, ছেলে বোউমা নাতি দেখাতে নিয়ে গেলো আদিপুরুষ।  গেলাম  ঠিকই, মনে হচ্ছে কি পাপ ই না করলাম এই বয়েসে।সেই ছোটো বেলা থেকে রামায়ণে পড়েছি ।কিন্তু এতো নিম্নস্তরের দেখতে হবে ভাবতে  পারিনি।।",negative
দিদি হেসে হেসে জান খারাপ হয়ে গেলো গো,positive
তোমার  এর জন্য  করেছিলাম   দারুণ,positive
দারুন ছিল ভিডিওটা হাসতে হাসতে পেটে খিল ধরলে । আদিপুরুষ আসলে বাংলা সিরিয়াল ও‌ মহালয় ছোঁয়াচে সিনেমা। এটাকে রামায়ণ ভাবার কোনো কারণ নেই কারণ এটা হল বাহুবলি 3।,positive
"দিদি হাসতে হাসতে আমি আজ শেষ।দিদি দারুন হয়েছে।আমি বাংলাদেশ থেকে,তোমার ভিডিও গুলো দেখি।আমার খুব ভালো লাগে।",positive
দারুন দারুন। হাসতে হাসতে পেটে ব্যাথা হয়ে গেল।,positive
শুরু থেকে শেষ পর্যন্ত পুরোটাই সেরা,positive
"দারুণ ভিডিও , ভীষণ ভালো লাখল",positive
দিদি অক্ষয় কুমারের লাক্সমি মুভি দিয়ে একটা ভিডিও বানাও প্লিজ,neutral
বিভীষণ লাল কালো শাড়ি টাও ঝেঁপে দিয়েছে!!... এটা দারুন ছিল,negative
টিয়া রাজের ভিডিও চাই।,neutral
দিদি আমি হাসতে হাসতে খাট থেকে পরে গেছি আমার কাছে দেখা বেস্ট রোস্টার তুমি না কাউকে গালি দাও কবিতা দিয়ে উচিত কথা বলে দাও,positive
তা হলে আমার কথাটা রেখেছো দিদি।আমি হলাম তোমার পরিবারের একজন নিয়োমিত একজন শ্রোতা।অসাধারণ।,positive
ধর্মকে এতো নিচে নামিয়েছে মুভি টা ব্যান্ড করা হোক,negative
লাল কালো শাড়ীর ব্যাপারটা দারুন ছিলো,negative
"হিন্দী একটু কম বুঝি তাই হিন্দী রোস্টারদের ভিডিও দেখে মজা পাচ্ছিলাম না কিন্তু অবশেষে তোমার ভিডিওটা আসলো , জিও দিদি ।",negative
দিদি আমি বাংলাদেশ থেকে বলছি। আমাদের দেশে আপনার অনেক ফ্যান আছে। আপনার ভিডিও গুলো আমি আর আমার সব বন্ধুরাই দেখি।আর পরের ভিডিওর জন্য অপেক্ষা করি। আপনি যদি আমাদের দেশের টিকটকার আর সিনেমার নায়কদের নিয়ে কিছু ভিডিও বানান তাহলে অনেক খুশি হব।এরা এমন সব সিনেমা আর টিকটক ভিডিও বানায় যেগুলো সুস্থ মস্তিস্ক থাকলে কেউ বানাতো না। এদের জন্য এখানের ইয়াং ছেলেমেয়েরা বিপথে যাচ্ছে । তাই আমার অনুরোধ আপনার কাছে যে আপনি আমাদের দেশের মিডিয়া সেলিব্রিটিদের নিয়ে ভিডিও বানাবেন দয়া করে।,positive
দিদি তুমি মেডির খবর নিয়েছো ম্যাডির বিয়ে হতে চলেছে ওর জন্য একটা রোস্টিং ভিডিও বানাও,negative
  তোমারে সেলাম  এরকম শুধু তুমিই পারো।। কোনো নেগেটিভ কথা নাবলেও এতো সুন্দর করে হাসাতে পারো।।,positive
 শব্দটি কি বললো ভালো করে বুঝতে পারলাম না,neutral
শব্দটি কি বললো ভালো করে বুঝতে পারলাম না,neutral
আমাদের দ্বিতীয় ক্যারিমিনাটি।,negative
কবিতা শুনে আমি বেহুশ কি ছিল ওগুলো,positive
ঠিক বললে দিদি এ মোভি দেখে আমার হাসতে হাসতে অবস্থায় খারাপ.,positive
তুমি পারো বটে সোনা। অস্থির লেভেলের ছিলো সবটা। ভিডিও আরো লম্বা বানাও। এটুকু দেখে আমার মন ভরে না।,positive
অসাধারণ রিভিউ জাস্ট ফাটাফাটি কোনো কথা হবে না,negative
কবিতা গুলো,neutral
আমি  টা এখনো পর্যন্ত দেখিনি  আর দেখতে ইচ্ছা করছে না,negative
বিশাল বড় লঙ্কা,negative
ট্রেইলার দেখেই বুঝতে পেরেছিলাম কি হবে। তাই আর মুভি দেখে সময় নষ্ট করিনি। বিগ বাজেটের কার্টুন!,negative
আদিপুরুষ দেখে রামায়ণ ভুলে গিয়েছি,negative
"আমার মনে হয় ওটা রাবণের লঙ্কা না, অ্যানাকোন্ডার লেজ হবে হয়তো",negative
ভাগ্যিস হলে গিয়ে দেখিনি। থ্যাংক গড,negative
বোন তোমার ভিডিও অনেক দিন পরে দেখলাম খুব ভালো লাগলো,positive
"সেরা দিদি, সেরা এটা। খুব হেসেছি",positive
কমলা ও শ্রীমান পৃথ্বীরাজ সিরিয়ালের রোস্ট ভিডিও চাই,positive
এই মুভির রাবণ কে দেখে স্বয়ং রাবণ ও আত্মহত্যা করবে দিদি,negative
"দশটা হাতের কথা যেটা বললে, রাবণের ২০টা হাত আর দশটা মাথা ছিলো।   রামায়ণ",negative
বিভীষণের বউ খোলা মনের আর বড় হৃদয়ের,negative
দিদি খুব ভালো হয়েছে   যখন আমার মন খারাপ হয় তখন তোমার   দেখে খুব ভালো  লাগে,positive
আমার তো মনে হয় মুভিটা এভাবে জঘন্য করে ইচ্ছা করেই বানিয়েছে।নেগেটিভ মার্কেটিং এর জন্য,negative
সত্যি তারা তাদের নিজেদের রামায়ণ ই যানে না... আমি গর্বিত আমি মুসলিম..,negative
"আমি খুব খুশি বাস্তব কথা বলেছ ,র ডিরেক্টরের মুখে ঝামা ঘষে দিয়েছ দি",negative
দিদির ছড়াগুলো একদম সেই হেভি ট্যালেন্ট দিদির,negative
এটা সেরা    এর উপর।,positive
হাসতে হাসতে পুরো শেষ,positive
রিভিউ দেখে আদিপুরুষ মুভি দেখার ইন্টারেস্ট চলে গেলো,negative
বিশাল বড়ো লংকা আর কালো টাকার কথা বলছিসেই ছিল,negative
বিশ্বাস করো রি দি এই রামায়ণের থেকে পরীক্ষার খাতায় আমি ভালো রামায়ণ লিখে দিয়া আসতে পারব 🫠,negative
রাবণের দশটা হাত ছিল । পুরানেও অনেক চিত্রতে তার দশটি মাথার সাথে দশটি হাত দেখানো আছে ।,negative
সেই মজা পেলাম দিদি,positive
এটা কি দেখলাম ভাই  যাকে ভলে ঠান্ডা মাথায় পিছন মেরে দেওয়া,negative
দিদি তোমার কবিতাগুলো সেরা..সেরা....আর বিভীষণ খুব অন্যায় করেছে তোমার লাল-কালো শাড়িটা ঝেঁপে দিযে,positive
বিভীষণের বৌকে দেখে আমি হলাম চিত  পাড়ার ছেলে গুলো সব দেখেই হলো ফিট,negative
তোমার   গুলো  খুব ভালো লাগে,positive
ওরে শাড়ি মিলে গেছে সেই মজা পাইছি,positive
দিদি হেসে হেসে জান খারাপ হয়ে গেলো গো,positive
তোমার  এর জন্য  করেছিলাম   দারুণ,positive
দারুন ছিল ভিডিওটা হাসতে হাসতে পেটে খিল ধরলে । আদিপুরুষ আসলে বাংলা সিরিয়াল ও‌ মহালয় ছোঁয়াচে সিনেমা। এটাকে রামায়ণ ভাবার কোনো কারণ নেই কারণ এটা হল বাহুবলি 3।,positive
"দিদি হাসতে হাসতে আমি আজ শেষ।দিদি দারুন হয়েছে।আমি বাংলাদেশ থেকে,তোমার ভিডিও গুলো দেখি।আমার খুব ভালো লাগে।",positive
দারুন দারুন। হাসতে হাসতে পেটে ব্যাথা হয়ে গেল।,positive
শুরু থেকে শেষ পর্যন্ত পুরোটাই সেরা,positive
"দারুণ ভিডিও , ভীষণ ভালো লাখল",positive
দিদি অক্ষয় কুমারের লাক্সমি মুভি দিয়ে একটা ভিডিও বানাও প্লিজ,neutral
বিভীষণ লাল কালো শাড়ি টাও ঝেঁপে দিয়েছে!!... এটা দারুন ছিল,negative
টিয়া রাজের ভিডিও চাই।,neutral
দিদি আমি হাসতে হাসতে খাট থেকে পরে গেছি আমার কাছে দেখা বেস্ট রোস্টার তুমি না কাউকে গালি দাও কবিতা দিয়ে উচিত কথা বলে দাও,positive
তা হলে আমার কথাটা রেখেছো দিদি।আমি হলাম তোমার পরিবারের একজন নিয়োমিত একজন শ্রোতা।অসাধারণ।,positive
ধর্মকে এতো নিচে নামিয়েছে মুভি টা ব্যান্ড করা হোক,negative
লাল কালো শাড়ীর ব্যাপারটা দারুন ছিলো,negative
ওরে শাড়ি মিলে গেছে সেই মজা পাইছি,positive
আপু হুমায়ুন আহমেদের নাটক দেখার আমন্ত্রণ রইলো। উড়ে যায় বকপক্ষী আর আজ রবিবার এই দুইটা নাটক।,neutral
আজ তোমাকে লাল  কালো  শাড়ি পরে সত্যিই খুব সুন্দর লাগছে,positive
তোমার কবিতা গুলো খুব মজার...,positive
ও দিভাই তুমি ফাটিয়ে দিয়েছো দারুন হয়েছ,positive
সোনার লঙ্কা কোথায় গেলে,positive
এটা নতুন রাবণ দ্বিতল বিশিষ্ট,negative
সেরা,positive
মানে ব্ল্যাক মানি,neutral
দিদি আপনি অনেক কিউট,positive
"দিদি অনেকে এই মুভিটাকে নিয়ে রোস্ট করেছে কিন্তু সবার মধ্যে তুমি সেরা দিদি,️",positive
সব ই ঐ গাজার কামাল,negative
বিভীষণ এটা ঠিক করেনি বউ শাড়ি খুলে ফেলছে বলে দিদির শাড়ি চুড়ি করবে,negative
অনেক দিন পর প্রান খুলে হাসলাম।,positive
বলো বলো আরো বলো বেশ মজা নিলাম,positive
আপনার  কবিতাগুলো সেই রকম মজার।,positive
এর থেকে অনেক ভালো আমাদের বাংলা ইন্ডাস্ট্রি ️,negative
"ভুল যেটা বললে তা রাবণের কিটো জুতো পরা নিয়ে ভিকিরী বলা, যদিও রাবণ সীতার কাছে ভিকিরীর বেসেই গেছলো।@",negative
দারুন দারুন। ️,positive
আপু হিন্দি সিরিয়াল মন সুন্দর দিয়ে একটা করবেন সেটাতেও এক নায়কের  অনেক বিয়ে হয় প্লিজ তাদের নিয়ে একটা ভিডিও করবেন,positive
দারুন,positive
দিদি তোমার সায়েরিগুলো দারুণ । এ হল বর্তমান যুগের রামায়ণ ।,negative
বাহ্ দিদি ডাইলগ গুলো অস্তির,positive
ঠিক বলেছেন,neutral
হাসতে হাসতে আমি শেষ!,positive
আপনাদের এই রোস্টের কারণেই আদিপুরুষ আজকে ফ্লপ,negative
কয়লার লঙ্কা! দোতলা রাবণ,negative
জ্ঞান থাকলে তবে না সেরম করবে,negative
দাঁত কেলানো বাদুর,negative
একটা  সিরিয়াল এর  চাই,neutral
দাত কেলানো বাদর  নাকি রাবণের রথ।,negative
লোকজনের  দেখে আদিপুরুষ দেখার ইচ্ছের ছিটে ফোঁটাও আর অবশিষ্ট নেই,negative
